,ID,NAME,RESOLUTION,REF,FUNCTION,UPDATE
0,anika_radd_test,,,,,
1,arg_native_forest_land_plan,Ordenamiento Territorial del Bosque Nativo,,,,
2,berkeley_earth_temp_anomaly_2000_2020,Annual Surface Temperature Anomalies,1 degree x 1 degree,http://berkeleyearth.org/ ,"Annual average surface air temperature anomaly, compared to the 1951-1980 average",Annual
3,birdlife_alliance_for_zero_extinction_sites,Alliance for Zero Extinction sites,,http://www.zeroextinction.org/,Displays critical sites for conservation that contain endangered species with limited ranges and populations found nowhere else on the planet,Every 5 years
4,birdlife_biodiversity_intactness,Biodiversity Intactness,1 km x 1 km,,Displays the impacts of forest change on local biodiversity intactness ,Annual
5,birdlife_biodiversity_significance,Biodiversity Significance,1 km x 1 km,,"Displays the relative importance of each pixel in terms of its aggregate contribution to the distribution of forest-dependent species of mammals, birds, amphibians, and conifers. ",Annual
6,birdlife_endemic_bird_areas,Endemic Bird Areas, ,http://www.birdlife.org/datazone/eba,Displays areas where the geographic range of two or more endemic bird species overlaps,v2014
7,birdlife_key_biodiversity_areas,Key Biodiversity Areas,KBAs are sites i.e. actual or potential management units. Many are protected areas,,KBAs are 'sites contributing significantly to the global persistence of biodiversity’,"Ongoing, with multiple updates per year"
8,cartocritica_mex_protected_areas_2016,Mexico protected areas, ,,"Shows the location of Mexico’s national, state, and municipal protected areas as well as voluntary conservation areas", 
9,ci_biodiversity_hotspots,Biodiversity hotspots, ,,Displays Conservation International’s biodiversity hotspots—defined regions around the world where biodiversity conservation is most urgent because of high levels of endemism and human threat, 
10,cifor_peatlands,Tropical and Subtropical Peatland Distribution,231 x 231 meter,https://data.cifor.org/dataset.xhtml?persistentId=doi:10.17528/CIFOR/DATA.00058,,
11,cifor_wetlands,Tropical and Subtropical Wetlands Distribution,231 x 231 meter,https://data.cifor.org/dataset.xhtml?persistentId=doi:10.17528/CIFOR/DATA.00058,,
12,clark_labs_tropical_pond_aquaculture_1999,Clark labs Tropical Pond Aquaculture (1999),,,,
13,clark_labs_tropical_pond_aquaculture_2014,Clark labs Tropical Pond Aquaculture (1999),,,,
14,clark_labs_tropical_pond_aquaculture_2018,Clark labs Tropical Pond Aquaculture (1999),,,,
15,clark_labs_tropical_pond_aquaculture_change_1999_2014,Clark Labs Tropical Pond Aquaculture Change (1999-2014),,,,
16,clark_labs_tropical_pond_aquaculture_change_1999_2018,Clark Labs Tropical Pond Aquaculture Change (1999-2018),,,,
17,clark_labs_tropical_pond_aquaculture_change_2014_2018,Clark Labs Tropical Pond Aquaculture Change (2014-2018),,,,
18,conafor_mex_forest_type,Mexico forest cover,"1:50,000 scale",,Shows the coverage of forests in Mexico, 
19,conafor_mex_forest_zoning,Mexico land rights, ,http://catalogo.datos.gob.mx/dataset/perimetrales-de-los-nucleos-agrarios-certificados,Shows the location of ejidos and community lands in Mexico, 
20,dtu_wb_wind_speed_potential_2001_2010,Wind Speed Potential,1 km x 1 km,https://www.globalwindatlas.info/about/introduction,Mean wind speed for any location on Earth,
21,esa_land_cover_2015,Land cover ,300 × 300 meters,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf ,Shows the global distribution of land cover in 2015,Annual
22,fao_ecozones,FAO Global Ecological Zones,,,,
23,funai_bra_indigenous_lands,FUNAI Brazil Indigenous Lands,,,,
24,funai_bra_indigenous_territories,FUNAI Brazil Indigenous Territories,,,,
25,gadm_adm0_africa,GADM (4.1) national boundaries - Africa,,,,
26,gadm__burned_areas__adm1_weekly_alerts,,,,,
27,gadm__burned_areas__adm1_whitelist,,,,,
28,gadm__burned_areas__adm2_daily_alerts,,,,,
29,gadm__burned_areas__adm2_weekly_alerts,,,,,
30,gadm__burned_areas__adm2_whitelist,,,,,
31,gadm__burned_areas__iso_weekly_alerts,,,,,
32,gadm__burned_areas__iso_whitelist,,,,,
33,gadm__glad__adm1_daily_alerts,,,,,
34,gadm__glad__adm1_summary,,,,,
35,gadm__glad__adm1_weekly_alerts,,,,,
36,gadm__glad__adm1_whitelist,,,,,
37,gadm__glad__adm2_daily_alerts,,,,,
38,gadm__glad__adm2_summary,,,,,
39,gadm__glad__adm2_weekly_alerts,,,,,
40,gadm__glad__adm2_whitelist,,,,,
41,gadm__glad__iso_daily_alerts,,,,,
42,gadm__glad__iso_summary,,,,,
43,gadm__glad__iso_weekly_alerts,,,,,
44,gadm__glad__iso_whitelist,,,,,
45,gadm__integrated_alerts__adm1_daily_alerts,,,,,
46,gadm__integrated_alerts__adm2_daily_alerts,,,,,
47,gadm__integrated_alerts__iso_daily_alerts,,,,,
48,gadm__modis__adm1_weekly_alerts,,,,,
49,gadm__modis__adm1_whitelist,,,,,
50,gadm__modis__adm2_daily_alerts,,,,,
51,gadm__modis__adm2_weekly_alerts,,,,,
52,gadm__modis__adm2_whitelist,,,,,
53,gadm__modis__iso_weekly_alerts,,,,,
54,gadm__modis__iso_whitelist,,,,,
55,gadm__tcl__adm1_change,,,,,
56,gadm__tcl__adm1_summary,,,,,
57,gadm__tcl__adm1_whitelist,,,,,
58,gadm__tcl__adm2_change,,,,,
59,gadm__tcl__adm2_summary,,,,,
60,gadm__tcl__adm2_whitelist,,,,,
61,gadm__tcl__iso_change,,,,,
62,gadm__tcl__iso_summary,,,,,
63,gadm__tcl__iso_whitelist,,,,,
64,gadm__viirs__adm1_weekly_alerts,,,,,
65,gadm__viirs__adm1_whitelist,,,,,
66,gadm__viirs__adm2_daily_alerts,,,,,
67,gadm__viirs__adm2_weekly_alerts,,,,,
68,gadm__viirs__adm2_whitelist,,,,,
69,gadm__viirs__iso_weekly_alerts,,,,,
70,gadm__viirs__iso_whitelist,,,,,
71,geostore__burned_areas__daily_alerts,,,,,
72,geostore__burned_areas__weekly_alerts,,,,,
73,geostore__burned_areas__whitelist,,,,,
74,geostore__glad__daily_alerts,,,,,
75,geostore__glad__summary,,,,,
76,geostore__glad__weekly_alerts,,,,,
77,geostore__glad__whitelist,,,,,
78,geostore__integrated_alerts__daily_alerts,,,,,
79,geostore__modis__daily_alerts,,,,,
80,geostore__modis__weekly_alerts,,,,,
81,geostore__modis__whitelist,,,,,
82,geostore__tcl__change,,,,,
83,geostore__tcl__summary,,,,,
84,geostore__tcl__whitelist,,,,,
85,geostore__viirs__daily_alerts,,,,,
86,geostore__viirs__weekly_alerts,,,,,
87,geostore__viirs__whitelist,,,,,
88,gfw_aboveground_carbon,GFW Carbon Model - Aboveground Carbon,,,Contextual layer for the GFW forest carbon model,
89,gfw_belowground_carbon,GFW Carbon Model - Belowground Carbon,,,Contextual layer for the GFW forest carbon model,
90,gfw_deadwood_carbon,GFW Carbon Model - Deadwood Carbon,,,Contextual layer for the GFW forest carbon model,
91,gfw_emerging_hot_spots,Emerging Hot Spots,n/a,https://www.researchgate.net/publication/312543231_Using_spatial_statistics_to_identify_emerging_hot_spots_of_forest_loss,To identify significant clusters of primary forest loss on a country level basis,
92,gfw_forest_age,GFW Forest Age,,,,
93,gfw_forest_age_category,GFW Carbon Model - Forest Age Category,,,Contextual layer for the GFW forest carbon model,
94,gfw_forest_carbon_gross_emissions,Forest Carbon Emissions,30 x 30m,https://www.nature.com/articles/s41558-020-00976-6,Displays forest greenhouse gas emissions from stand-replacing disturbances,Annual
95,gfw_forest_carbon_gross_removals,Forest Carbon Removals,30 x 30m,https://www.nature.com/articles/s41558-020-00976-6,Displays forest carbon removals by forest sinks,Annual
96,gfw_forest_carbon_net_flux,Net Forest Carbon Flux,30 x 30m,https://www.nature.com/articles/s41558-020-00976-6,"Displays the net exchange of carbon between forests and the atmosphere between 2001 and 2020, calculated as the difference between forest carbon emissions from stand-replacing forest disturbances and carbon removals from forest growth",Annual
97,gfw_full_extent_aboveground_carbon_potential_sequestration,Aboveground Carbon Potential Sequestration,,,,
98,gfw_full_extent_aboveground_gross_removals,GFW Full Extent Aboveground Gross Removals,,,,
99,gfw_full_extent_belowground_carbon_potential_sequestration,Belowground Carbon Potential Sequestration (Full Extent),,,,
100,gfw_full_extent_belowground_gross_removals,GFW Full Extent Belowground Gross Removals,,,,
101,gfw_full_extent_co2_gross_emissions,GFW CO2-only Gross Emissions (full extent),,,,
102,gfw_full_extent_net_flux,GFW Full Extent Net flux,,,,
103,gfw_full_extent_non_co2_gross_emissions,GFW non-CO2 Gross Emissions (full extent),,,,
104,gfw_integrated_alerts,,,,,
105,gfw_land_rights,GFW Land Rights,,,,
106,gfw_litter_carbon,GFW Carbon Model - Litter Carbon,,,Contextual layer for the GFW forest carbon model,
107,gfw_logging,GFW Logging concessions,,,,
108,gfw_logging_download,GFW Logging concessions (downloadable),,,,
109,gfw_managed_forests,Managed forest concessions, ,,Displays boundaries of forested areas allocated by governments to companies for harvesting timber and other wood products., 
110,gfw_mining_concessions,Mining, ,,Displays boundaries of areas allocated by governments to companies for extraction of minerals, 
111,gfw_oil_gas,Oil and gas,Varies by source,,"Displays boundaries of areas allocated by governments to companies for the exploration of hydrocarbons, oil and gas. ",Varies by source
112,gfw_oil_palm,Oil palm concessions,,,Displays boundaries of areas allocated by governments to companies for oil palm plantations.,
113,gfw_peatlands,Global Peatland Extent,30 x 30 m,,Delineates extent of peatlands and organic soils,Sporadic
114,gfw_pixel_area,Pixel Area,,,Geodesic area of pixel in square meter,
115,gfw_plantations,GFW Plantations,,,,
116,gfw_planted_forests,Planted trees,Scale varies by country,,Identifies planted forests and tree crops for select countries.,Periodic as new data become available
117,gfw_primary_forests,GFW Primary Forests,,,,
118,gfwpro_forest_change_regions,GFW PRO Forest Change Regions,,,Used to select Forest Change Analytics results of GFW Pro.,
119,gfwpro_peatlands,,,,,
120,gfw_radd_alerts,,,,,
121,gfw_reforestable_extent_aboveground_carbon_potential_sequestration,Belowground Carbon Potential Sequestration (Reforestable Extent),,,,
122,gfw_reforestable_extent_belowground_carbon_potential_sequestration,Belowground Carbon Potential Sequestration (Reforestable Extent),,,,
123,gfw_resource_rights,GFW Resource Rights,,,,
124,gfw_soil_carbon,GFW Soil Carbon (for TCL carbon model),,,,
125,gfw_soil_carbon_stocks,,,,,
126,gfw_tiger_landscapes,Tiger Conservation Landscapes, ,,"These layers show the location of current tiger habitats, areas of habitat expansion, and critical tiger corridors.",Updated annually
127,gfw_universal_mill_list,Palm Oil Mills,,,Displays location of palm oil mills ,Every six months
128,gfw_wood_fiber,Wood fiber concessions,,,Displays boundaries of areas allocated by governments to private companies for tree plantations for production of timber and wood pulp for paper and paper products.,
129,gfw_wood_fiber_downloadable,GFW Wood Fiber Concessions (downloadable),,,,
130,gmw_global_mangrove_extent,Global Mangrove Extent,,,,
131,gmw_global_mangrove_extent_1996,GMW Global Mangrove Extent 1996,,,,
132,gmw_global_mangrove_extent_2016,Global Mangrove Extent,1 hectare,www.globalmangrovewatch.org.,Global coverage of mangroves for select years from 1996 to 2016, 
133,gpcc_total_precipitation_2000_2019,Annual Cumulative Precipitation,0.25 × 0.25 degree,http://berkeleyearth.org/ ,Annual cumulative precipitation,Annual
134,haka_idn_leuser,Indonesia Leuser Ecosystem, ,,"Displays the boundary of the Leuser Ecosystem, a National Strategic Area for its Environmental Protection Function.", 
135,ibge_bra_biomes,Brazil biomes,"1: 5,000,000",http://www.ibge.gov.br/home/presidencia/noticias/21052004biomashtml.shtm,"Shows the boundaries of the six Brazilian continental biomes – Amazônia, Cerrado, Caatinga, Mata Atlântica, Pantanal, and Pampa", 
136,icf_hnd_forest_type_2013,Honduras forest type,5 × 5 meters,,Identifies forest type and land cover in Honduras, 
137,icmbio_bra_federal_protected_areas,ICMBIO Brazil Federal Protected Areas,,,,
138,idn_forest_area,Kawasan hutan Indonesia / Indonesia forest area,"1:250,000",,Indicates the Indonesian government’s designation of legal forest area.,
139,idn_forest_moratorium,Indonesia forest moratorium,,http://www.wri.org/publication/indonesias-forest-moratorium,"Indicates the area of Indonesia's moratorium against new forest concessions, designed to protect Indonesia's peat lands and primary natural forests from future development",
140,idn_land_cover_2017,Land Cover Indonesia,"1:250,000",,Official data on land cover for Indonesia.,None
141,idn_wood_fiber,Indonesia wood fiber concessions ,,,Provides the boundaries of current or planned wood fiber plantations in Indonesia.,
142,ifl_intact_forest_landscapes,Intact Forest Landscapes,"Approximately 1:1,000,000",http://www.intactforests.org/,"Identifies the world's last remaining unfragmented forest landscapes, large enough to retain all native biodiversity and showing no signs of human alteration as of the year 2016. This layer also shows the reduction in the extent of Intact Forest Landscapes from 2000 to 2013 and 2013 to 2016.", 
143,ifl_intact_forest_landscapes_2000,Intact Forest Landscapes 2000,,,,
144,ifl_intact_forest_landscapes_2013,Intact Forest Landscapes 2013,,,,
145,ifl_intact_forest_landscapes_2016,Intact Forest Landscapes 2016,,,,
146,ifl_intact_forest_landscapes_2020,Intact Forest Landscapes 2020,,,,
147,incra_bra_quilombola_communities,INCRA Brazil Quilombola Communities,,,,
148,incra_bra_rural_settlements,INCRA Brazil Rural Settlements,,,,
149,inpe_amazonia_prodes,PRODES deforestation,30 meters,http://www.obt.inpe.br/prodes/index.php,Deforestation monitoring system for the Brazilian Amazon used by the Brazilian government to establish public policy,Annual
150,inpe_amazon_prodes,PRODES Legal Amazon,,,,
151,inpe_cerrado_prodes,PRODES Cerrado biome,,,,
152,inpe_prodes,PRODES deforestation,30 meters,,"Deforestation monitoring system for the Brazilian Amazon and Cerrado biomes, used by the Brazilian government to establish public policy",Annually
153,intl_rivers_dam_hotspots,Major dams,,,,
154,jpl_mangrove_aboveground_biomass_stock_2000,JPL Mangrove Aboveground Biomass Stock 2000,,,,
155,jrc_surface_water_transitions_1984_2020,Global Surface Water Extent,30 m x 30 m,https://global-surface-water.appspot.com,Location and temporal distribution of global surface water from 1984 to 2020,Varies
156,khm_protected_areas,KHM Protected Areas,,,,
157,landmark_icls,Indigenous and community lands,,https://www.landmarkmap.org,"Depicts indigenous and community lands for select countries around the world, classified by legal recognition status.  ",Quarterly
158,landmark_indigenous_and_community_lands,Indigenous and community lands,,https://www.landmarkmap.org,"Depicts indigenous and community lands for select countries around the world, classified by legal recognition status.  ",Quarterly
159,lbr_development_exploration_license,Liberia Development Exploration License,,,,
160,lbr_mineral_development_agreement,Liberia Mineral Development Agreement,,,,
161,lbr_mineral_exploration_license,Liberia Mineral Exploration License,,,,
162,licadho_khm_economic_land_concessions,Cambodia Economic Land Concessions,,,,
163,mapbiomas_bra_land_cover,Mapbiomas Brazil Land Cover Collection 7,,,,
164,mapbox_river_basins,Mapbox River Basins,,,,
165,nasa_modis_fire_alerts,,,,,
166,nasa_umd_forest_carbon_sequestration_potential,NASA/UMD Forest Carbon Sequestration Potential,,,,
167,nasa_viirs_fire_alerts,NASA VIIRS Fire Alerts,375 × 375 meters,https://earthdata.nasa.gov/earth-observation-data/near-real-time/firms/viirs-i-band-active-fire-data,"Displays fire alert data for the past 24 hours, 48 hours, 72 hours, or 7 days",daily
168,nexgddp_change_avg_temperature_2000_2080,Projected Change in Annual Average Temperature,0.25 degree x 0.25 degree,https://www.wri.org/research/making-climate-data-accessible,Projected change in annual average temperature,Unknown
169,nexgddp_change_cum_precipitation_2000_2080,Projected Change in Cumulative Precipitation,0.25 degree x 0.25 degree,https://www.wri.org/research/making-climate-data-accessible,Projected change in annual cumulative precipitation,Unknown
170,nexgddp_change_dry_spells_2000_2080,Projected Change in Dry Spells,0.25 degree x 0.25 degree,https://www.wri.org/research/making-climate-data-accessible,Projected change in average annual dry spells,Unknown
171,osinfor_per_forest_concessions,Peru forest concessions, ,http://www.osinfor.gob.pe/osinfor/concesiones-forestales/,"Displays boundaries of areas allocated by the forest authority and supervised by the Supervisory Body for Forest and Wildlife Resources (OSINFOR) for timber, non-timber products, conservation, ecotourism, wildlife, afforestation, and reforestation.", 
172,osinfor_peru_permanent_production_forests,OSINFOR Peruvian Permanent Production Forests (forest concessions),,,,
173,osm_congo_basin_logging_roads,OSM Congo Basin Logging Roads,,,,
174,per_forest_concessions,Peru Forest Concessions,,,,
175,per_protected_areas,Peru Protected Areas,,,,
176,radd_alerts,,,,,
177,rspo_oil_palm,RSPO Member Concessions,,,"Displays the concession boundaries of RSPO member companies, including both certified and non-certified concessions.",Annual.
178,rspo_southeast_asia_land_cover_2010,RSPO Southeast Asia Landcover 2010,30m,,This data represents land cover categories in Southeast Asia.,
179,tropomi_avg_nitrogen_dioxide_last_month,Air Quality: Nitrogen Dioxide (NO₂) Satellite Measurements,3.5 x 5.5 km,https://sentinel.esa.int/web/sentinel/missions/sentinel-5p,Average monthly density of nitrogen dioxide (NO₂) in the troposphere,Daily
180,tsc_drivers,Tree Cover Loss by Dominant Driver,10 km x 10 km,,Shows the dominant driver of tree cover loss within each 10 km grid cell and the intensity of that loss for the time period 2001-2018. ,
181,tsc_tree_cover_loss_drivers,,,,,
182,umd_adm0_net_tree_cover_change_from_height,"UMD Net Tree Cover Change (from height, adm0)",,,,
183,umd_adm1_net_tree_cover_change_from_height,"UMD Net Tree Cover Change (from height, adm1)",,,,
184,umd_adm2_net_tree_cover_change_from_height,"UMD Net Tree Cover Change (from height, adm2)",,,,
185,umd_area_2013,,,,,
186,umd_drivers,Tree Cover Loss by Dominant Driver,10 km x 10 km,,Shows the dominant driver of tree cover loss within each 10 km grid cell and the intensity of that loss for the time period 2001-2018. ,
187,umd_glad_landsat_alerts,GLAD alerts ,30 x 30 meters,http://iopscience.iop.org/article/10.1088/1748-9326/11/3/034008,Identifies areas of likely tree cover loss in near-real time,Updated weekly
188,umd_glad_landsat_alerts_coverage,Coverage Layer for GLAD-L,,,,
189,umd_glad_sentinel2_alerts,Deforestation alerts (GLAD-S2),10 x 10m,https://glad.earthengine.app/view/s2-forest-alerts,Identifies areas of primary forest loss  in near real time using Sentinel-2 imagery,"Updated daily, image revisit time every 5 days"
190,umd_glad_sentinel2_alerts_coverage,UMD GLAD+ Alerts Coverage,,,,
191,umd_land_cover,,,,,
192,umd_land_cover_2000_2020,Land Cover Map,30 m,https://doi.org/10.3389/frsen.2022.856903,Global land use and land cover map for 2000 and 2020,Unknown
193,umd_modis_burned_areas,Global Burned Areas,500m x 500m,,Displays monthly burned area extent and date of burn based on differences in a burn-sensitive Vegetation Index derived from MODIS shortwave infrared surface reflectance bands,Monthly
194,umd_regional_primary_forest_2001,Primary Forests, 30 × 30 meters,https://glad.umd.edu/dataset/primary-forest-humid-tropics,This data set maps the extent of primary forests in the global pan-tropical regions in 2001., 
195,umd_soy_planted_area,Soy Planted Area,,,Displays areas of soy cultivation,
196,umd_tree_cover_density_2000,Tree cover,30 × 30 meters,http://science.sciencemag.org/content/342/6160/850,Identifies areas of tree cover,
197,umd_tree_cover_density_2010,,,,,
198,umd_tree_cover_gain,,,,,
199,umd_tree_cover_gain_from_height,Tree Cover Gain from height,,,,
200,umd_tree_cover_height_2000,UMD Tree Cover Height 2000,,,,
201,umd_tree_cover_height_2019,Tree cover height,30 meters,https://glad.umd.edu/dataset/gedi/,Show the height of global forest canopy in the year 2019.,
202,umd_tree_cover_height_2020,UMD Tree Cover Height 2020,,,,
203,umd_tree_cover_loss,UMD Tree Cover Loss,30 × 30 meters,http://science.sciencemag.org/content/342/6160/850,Identifies areas of gross tree cover loss.,Annual
204,umd_tree_cover_loss_from_fires,UMD Tree Cover Loss from Fires,,,,
205,uml,uml,,,Displays the location of palm oil mills.,Every 6 months
206,usa_conservation_easements,USA Conservation Easements,,,,
207,usgs_usa_land_cover,USA land cover,30 × 30 meters,http://www.mrlc.gov/index.php,"Identifies land cover for the United States, utilizing the National Land Cover Database (NLCD) for 2016",Every 5 years
208,wcs_forest_landscape_integrity_index,Forest Landscape Integrity Index,300 x 300m,https://www.forestintegrity.com/,Displays forest condition as a continuous index determined by degree of anthropogenic modification,Annual
209,wdpa_protected_areas,Protected areas,,,"Displays areas that are legally protected according to various designations (e.g., national parks, state reserves, and wildlife reserves) and managed to achieve conservation objectives",Quarterly
210,wdpa_protected_areas__burned_areas__daily_alerts,,,,,
211,wdpa_protected_areas__burned_areas__weekly_alerts,,,,,
212,wdpa_protected_areas__burned_areas__whitelist,,,,,
213,wdpa_protected_areas__glad__daily_alerts,,,,,
214,wdpa_protected_areas__glad__summary,,,,,
215,wdpa_protected_areas__glad__weekly_alerts,,,,,
216,wdpa_protected_areas__glad__whitelist,,,,,
217,wdpa_protected_areas__integrated_alerts__daily_alerts,,,,,
218,wdpa_protected_areas__modis__daily_alerts,,,,,
219,wdpa_protected_areas__modis__weekly_alerts,,,,,
220,wdpa_protected_areas__modis__whitelist,,,,,
221,wdpa_protected_areas__tcl__change,,,,,
222,wdpa_protected_areas__tcl__summary,,,,,
223,wdpa_protected_areas__tcl__whitelist,,,,,
224,wdpa_protected_areas__viirs__daily_alerts,,,,,
225,wdpa_protected_areas__viirs__weekly_alerts,,,,,
226,wdpa_protected_areas__viirs__whitelist,,,,,
227,whrc_aboveground_biomass_stock_2000,Aboveground live woody biomass density,,,Shows carbon density values of aboveground live woody biomass,
228,whrc_aboveground_woody_biomass_stock_2000,WHRC Aboveground Woody Biomass Stock 2000,,,,
229,wri_agriculture_linked_deforestation,Agriculture-Linked Deforestation,N/A,,"Provides annual agriculture-linked deforestation estimates for oil palm, soy, cattle, cocoa and coffee for the years 2001-2015 by administrative boundary",This data will be updated as new/improved data becomes available
230,wri_cmr_agro_industrial_zones,Cameroon agro-industrial zones, ,,"This data layer shows the boundaries of agro-industrial zones, where oil palm and rubber tree plantations, as well as other crops, may be established. ", 
231,wri_mexico_ageb_socio_economic_vulnerability,WRI Cities Socio-economic Vulnerability by ageb (Mexico),,,,
232,wri_mexico_block_socio_economic_vulnerability,WRI Cities Socio-economic Vulnerability by block (Mexico),,,,
233,wri_mexico_locality_socio_economic_vulnerability,WRI Cities Socio-economic vulnerability by locality (Mexico),,,,
234,wri_mexico_municipality_socio_economic_vulnerability,WRI Cities Socio-economic vulnerability by municipality (Mexico),,,,
235,wri_mexico_municipality_socio-economic_vulnerability,WRI Cities Socio-economic Vulnerability by ageb (Mexico),,,,
236,wri_mexico_state_socio_economic_vulnerability,WRI Cities Socio-economic vulnerability by state (Mexico),,,,
237,wri_trees_in_complex_landscapes,Trees in Complex Landscapes,,,,
238,wri_trees_in_mosaic_landscapes,Trees in Mosaic Landscapes,,,,
239,wri_trees_in_mosaic_landscapes_coverage,Coverage Layer for WRI Trees in Mosaic Landscapes,,,,
240,wri_tropical_tree_cover,,,,,
241,wur_africa_radd_coverage,Deforestation alerts (RADD) Coverage,"10 x 10m, with a minimum mapping unit of 0.1ha",,Near real-time forest disturbance alerts in primary humid tropical forests using Sentinel-1's cloud-penetrating radar sensors,Every 6-12 days
242,wur_radd_alerts,,,,,
243,wur_radd_coverage,RADD Alerts Coverage,,,,
244,wwf_terrestrial_ecoregions,WWF Terrestrial Ecoregions of the World,,,,
245,wwf_tiger_conservation_landscapes,Tiger Conservation Landscapes, ,,"These three layers show the location of current tiger habitats, areas of habitat expansion, and critical tiger corridors.",Updated annually
